ID,Research Paper ID,Tweet,Research Paper Intensity,Researcher 1 Classified Emotion,Researcher 1 Classified Intensity,Researcher 2 Classified Emotion,Researcher 2 Classified Intensity,Participant 1 Classified Emotion,Participant 1 Classified Intensity,Participant 2 Classified Emotion,Participant 2 Classified Intensity,Participant 3 Classified Emotion,Participant 3 Classified Intensity,Participant 4 Classified Emotion,Participant 4 Classified Intensity,Participant 5 Classified Emotion,Participant 5 Classified Intensity,Participant 6 Classified Emotion,Participant 6 Classified Intensity
174,40175,It's way too hard not to get discouraged.,0.667,,,depressed,4,depressed,3,,,,,Depressed ,5,,,,
175,40176,as a very depressed and suicidal person seeing someone sing about their own depressing life yet having fun is very relatable and encouraging,0.667,,,depressed,2,depressed,2,,,,,Lonely ,4,,,,
176,40177,I've returned from the dead with a desire to clean the apartment and eat something that isn't garbage. #managing #depression,0.667,,,depressed,1,depressed,3,,,,,Guilt ,3,,,,
177,40178,@WestHamUtd poor service tonight to find season ticket holders in the seats we purchased online. Forced to move further away #unhappy,0.667,,,displeased,3,displeased,2,,,,,Displeased ,5,,,,
178,40179,Even a pencilﾃ｢ﾅ・Eﾂ・E never #stayed  with me until it's #end ﾃ｢ﾅ｡ﾂｫ ﾃｰﾅｸﾋ・Eﾅｾ,0.667,,,lonely,3,displeased,1,,,,,Lonely ,3,,,,
179,40180,so gutted i dropped one of my earrings down the sink at school,0.667,,,displeased,4,displeased,2,,,,,Guilt ,4,,,,
180,40181,Having holiday blues! #WantToGoBackToMinehead.,0.661,,,depressed,3,displeased,1,,,,,Lonely ,4,,,,
181,40183,I don't think it's fully sunk in that Val is gone yet,0.654,,,grief,3,grief,2,,,,,Grief,3,,,,
182,40184,Hate being sober so I popped two,0.653,,,depressed,3,depressed,4,,,,,Guilt ,2,,,,
183,40188,All the 'juniors' are now wearing purple at ollafest while I'm here fighting with my alarm about when I need to wake up for German #sadness,0.646,,,depressed,4,displeased,2,,,,,Guilt ,3,,,,
184,40189,The fact I haven't had to wear a bra for a week and knowing I'll have to start wearing one again after tomorrow is depressing ﾃｰﾅｸ・E・E｢・E・Eﾃｰﾅｸ・E・E｢・E・E,0.646,,,displeased,2,displeased,1,,,,,Displeased ,2,,,,
185,40190,Liam is too distant makes me mourn ﾃｰﾅｸﾋ・Eﾂｪ,0.646,,,lonely,3,grief,2,,,,,Lonely ,4,,,,
186,40191,It's now September and we're still battling a situation that was said to be handled March of this year. @ATT this is unacceptable,0.646,,,displeased,4,displeased,3,,,,,Displeased ,5,,,,
187,40192,This weather got me fucked up. Like you either be sunny and hot or gloomy and cold. No in between.,0.646,,,depressed,2,depressed,2,,,,,Displeased ,3,,,,
188,40193,@ATTCares why do I have 2 wait 48 hours to call YOU back to cancel an order I JUST placed after already spending 2 hours on the phone?! #sad,0.646,,,displeased,5,displeased,2,,,,,Displeased ,5,,,,
189,40194,Life is too short so dont shoot it in with worries sadness and grief.,0.646,,,depressed,1,displeased,2,,,,,Depressed ,1,,,,
190,40195,Brb going to sulk in bed until Friday,0.646,,,depressed,5,depressed,2,,,,,Depressed ,3,,,,
191,40196,"@LVLMLeah Nooooooooooooooooooooo. We have stupid, dismal, lame winters where we maybe get some dangerous ice once.",0.646,,,displeased,4,displeased,1,,,,,Displeased ,2,,,,
192,40197,#RIPKara i could have seen her at a local mall or any school football games. im disheartened,0.646,,,lonely,4,grief,3,,,,,Guilt ,3,,,,
193,40198,@RossKemp great programme tonight #sad #upsetting #extremeworld,0.646,,,displeased,1,displeased,1,,,,,Depressed ,2,,,,
194,40199,My friends tell me I'm pretty. Trigger tells my I'm ugly. I first was confused but then realised I'm both. Pretty ugly. #tru #sad #tumblr,0.64,,,displeased,3,hurt,2,,,,,Depressed ,3,,,,
195,40300,"@marksandspencer Where has your 50% grapefruit squash gone,not been able to get for weeks #unhappy",0.562,,,displeased,3,displeased,1,,,,,Displeased ,2,,,,
196,40301,I mourn the creativity lost.,0.562,,,depressed,3,displeased,3,,,,,Guilt ,3,,,,
197,40302,"@Jinath_Hyder I can't have alcohol on it, sadly, but it only flares up under very specific circumstances so I just need to be more careful",0.562,,,depressed,2,guilty,2,,,,,Depressed ,2,,,,
198,40303,Add Donte Moncrief to my dismal situation #blessed.,0.561,,,depressed,3,displeased,1,,,,,Depressed ,1,,,,
199,40304,Shoutout to the drunk man on the bus who pissed in a bottle and on the seats #grim,0.548,,,displeased,4,,,hurt,2,,,Displeased ,5,,,,
200,40305,U know u have too much on ur mind when u find yourself cleaning a stove and kitchen by yourself  at almost 3am...  #pensive,0.542,,,depressed,2,,,hurt,2,,,Lonely ,4,,,,
201,40307,Itching something #serious RN haven't slept but considering taking like 6 Benadryl for a 20 min nap I am itching SO BADLY wow,0.542,,,displeased,4,,,lonely,3,,,Hurt,2,,,,
202,40308,@TVsCarlKinsella They're such garbage. Obviously I like that they suck but it's still grim to watch.,0.542,,,displeased,4,,,displeased,3,,,Displeased ,5,,,,
203,40309,"For a team as big as Bayern and the they like to play football, their pitch is fucking dreadful. Certainly no Emirates pitch anyway.",0.542,,,displeased,4,,,displeased,2,,,Displeased ,5,,,,
204,40310,Angry shouting match between a #pessimist &amp; an #optimist:\n'You're a half empty-headed @%$!' \n'You're half full of @%$!',0.542,,,displeased,5,,,displeased,3,,,Guilt ,3,,,,
205,40312,"@OnesOwnGrief Just a shame his world was gloom from day one almost.Though it makes sense he'd have the whole part hydra,part s.h.i.e.l.d(c)",0.542,,,displeased,2,,,displeased,2,,,Displeased ,3,,,,
206,40313,How do u grieve someone who legally wasn't a person yet?,0.542,,,grief,4,,,lonely,3,,,Grief,3,,,,
207,40314,It's so gloomy outside. I wish it was as cold as it looked,0.542,,,depressed,2,,,depressed,2,displeased,1,,,,,,
208,40315,@British_Airways #lost #bag #stillwaiting go home in2days. DM'd you my info and have rung 9times a day. What more can I do? #wheresmybag,0.542,,,displeased,4,,,lonely,3,displeased,2,,,,,,
209,40316,"When you saw a t-shirt with the phrase 'My mind is a dangerous place to be' and you would like to buy, but in Italy don't sell it. #sadness",0.542,,,displeased,2,,,depressed,2,displeased,1,,,,,,
210,40318,Trying to take what's lost and broken and make it right,0.542,,,hurt,3,,,guilty,3,grief,4,,,,,,
211,40319,@LondonMidland #dobetter only two carriages on 14:49 Birmingham to Hereford no room to stand anymore Friday commute #unhappy,0.542,,,displeased,3,,,depressed,3,displeased,2,,,,,,
212,40322,5am blues while riding a cab home:\n- my belly is much bigger than the rest of my body\n- but i couldnt be preggy\n- how to lose it in a day,0.542,,,displeased,3,,,guilty,3,guilty,3,,,,,,
213,40325,@WYSdaily I'm confident they will NEVER experience our successes of last 50yrs. Best they can hope for is to be another Bournemouth #sad,0.542,,,displeased,3,,,lonely,3,displeased,2,,,,,,
214,40326,"What's good is that we already hit rock bottom, even though I'm about two more seasons away from new depths of despair. #playoffs? #NJDevils",0.542,,,depressed,4,,,depressed,2,depressed,1,,,,,,
215,40327,"Absolutely can not believe the generosity pouring out for us, but Id give everything I have for Nick to be healthy and happy. #lost",0.542,,,hurt,5,,,lonely,4,grief,2,,,,,,
216,40328,i got his bitch depress,0.542,,,depressed,3,,,hurt,3,depressed,3,,,,,,
217,40329,@Groupon_UK who do I contact about a shocking experience with Clear Sky Holidays booked through you guys?? #customerservicefail #dreadful,0.542,,,displeased,4,,,displeased,4,displeased,2,,,,,,
218,40331,"@simslover163 I guess it must be really expensive... For me it's that the whole family stayed in Poland, so I really miss them...",0.542,,,lonely,4,,,lonely,3,lonely,4,,,,,,
219,40332,Regret for the things we did can be tempered by time; it is regret for the things we did not do that is inconsolable.  Sydney J. Harris,0.542,,,hurt,2,,,guilty,2,guilty,3,,,,,,
220,40333,untypical kinda Friday #dull,0.542,,,depressed,2,,,hurt,1,displeased,2,,,,,,
221,40334,"My oldest cat pisses me off. She's always been weary of Kennen (senile kinda), but recently shes been sweet. Until she attacked and bit him.",0.542,,,hurt,4,,,hurt,2,displeased,4,,,,,,
222,40335,@WestermannNina xDD it's a song that can not be weary (?),0.542,,,depressed,3,,,lonely,3,displeased,1,,,,,,
223,40336,Feels grim not having your nails done,0.542,,,displeased,2,,,hurt,2,displeased,1,,,,,,
224,40337,"How could such a crooked,stuck up,delusional,dim&amp; #dark hearted dud be surprised losing&amp;prob also ppl won't let their crimes drop! #nwo imo",0.541,,,displeased,4,,,displeased,4,hurt,4,,,,,,
225,40339,a good shorty has so much to offer &amp; it's sad that some of you niggas don't even see it when she right in front of your face and too late,0.521,,,displeased,4,,,hurt,3,hurt,4,,,,,,
226,40341,One way ticket to the blues.,0.521,,,depressed,4,,,depressed,4,depressed,4,,,,,,
227,40342,@SWP_Roads   How dull.,0.521,,,displeased,2,,,depressed,3,displeased,1,,,,,,
228,40345,"Im kind of confused.  The one thing i do right now has a great future, but on the other hand so does the new thing .  #needhelp",0.521,,,depressed,2,,,depressed,3,displeased,2,,,,,,
229,40350,So now... yeah. I'm home again.\nStill feeling mixed up inside &amp; kinda gloomy. But a little more optimistic that I'll figure this out.,0.521,,,depressed,1,,,depressed,2,depressed,2,,,,,,
230,40351,penny dreadful just cleaved off a fraction of my heart,0.521,,,hurt,2,,,hurt,4,hurt,5,,,,,,
231,40352,"@fitzstockcharts Gundlach calling for rounding top, doom and gloom, 15% down move",0.521,,,depressed,2,,,depressed,3,hurt,3,,,,,,
232,40353,"Everything is far away because time is short, no rest for the weary.",0.521,,,depressed,3,,,depressed,3,depressed,2,,,,,,
233,40354,@chelseafc let them know it's the #blues,0.521,,,depressed,1,,,depressed,2,depressed,4,,,,,,
234,40356,"@AliceGoodman17 i dunno, I'm getting less of the spacious lovely autumnal melancholy from our present apocalypse",0.521,,,depressed,1,,,depressed,4,grief,3,,,,,,
235,40357,Got paid to vacuum up rat poop. (-: never a dull day in the biology department ...,0.521,,,displeased,1,,,displeased,2,displeased,2,,,,,,
236,40359,@pandaflo22 We are sadden by this because we always strive to bring the best service to our customer. We will always be here for you. CM,0.521,,,depressed,1,,,guilty,3,depressed,1,,,,,,
237,40361,When health insurance won't cover TMS but they let me know they cover ECT #mentalhealth #psychology  #TMS #ECT,0.521,,,displeased,3,,,displeased,4,hurt,4,,,,,,
238,40364,"if you have been on depression too u shouldn't be judging him and exposing him to everyone, but helping him",0.52,,,displeased,4,,,hurt,3,displeased,4,,,,,,
239,40366,@HeyCaraJay I am inconsolable at this GIF in context,0.509,,,depressed,4,,,hurt,3,displeased,2,,,,,,
240,40368,Lisa: Getting what you want all the time will ultimately leave you unfulfilled and joyless.,0.5,,,depressed,4,,,depressed,4,displeased,3,,,,,,
241,40369,@harowe this sad truth!,0.5,,,hurt,3,,,hurt,3,hurt,4,,,,,,
242,40371,Don't wanna go to work but I want the money,0.5,,,depressed,3,,,displeased,4,guilty,3,,,,,,
243,40375,@RyhenMessedUp goodbye despair,0.5,,,depressed,1,,,depressed,3,depressed,2,,,,,,
244,40378,"the waitress recognised me from last time i was in there moping, after my interview haha",0.5,,,depressed,3,,,hurt,4,grief,3,,,,,,
245,40379,What day is it #lost,0.5,,,depressed,3,,,lonely,3,lonely,2,,,,,,
246,40381,"@ChibiReviews Post series depression can be quite bad, but it will get better, I bet someone will pick the novel soon in the west.",0.5,,,depressed,2,,,displeased,2,depressed,2,,,,,,
247,40382,@iTriborg ﾃ｢・E・Eｬ・E・E make him feel vigorous. 'Fine. You can kill me now.' Said Hestia with a display of only despair rather than her joyful ﾃ｢・E・Eｬ・E・E,0.5,,,depressed,4,,,hurt,5,hurt,2,,,,,,
248,40384,"The 2nd step to beating #anxiety or #depression is realising that it's not about waiting for ...., Take action yourself now.",0.495,,,depressed,2,,,depressed,4,guilty,3,,,,,,
249,40387,"@Nataliem55 sadly, war has often been the factor that jump starts US economic growth",0.479,,,displeased,2,,,guilty,3,displeased,3,,,,,,
250,40388,@GrimsToyShow grim what the fuck going on with these dame fucking clowns takeing the gameing channel if I had a way to nj I would delete,0.479,,,displeased,4,,,displeased,5,displeased,4,,,,,,
251,40389,"Leeds surely to drop the prices for that cup tie, rather than the dismal attendance last night..",0.479,,,displeased,2,,,displeased,3,displeased,2,,,,,,
252,40391,The word happiness would lose its meaning if it were not balanced by sadness.,0.479,,,depressed,1,,,depressed,3,displeased,1,,,,,,
253,40395,"@aidanparr haha!! No, sorry was it too grim even for you?! It disturbed me &amp; im starting to lose all trust in Twitter generally!!",0.479,,,depressed,4,,,lonely,4,displeased,3,,,,,,
254,40396,"Literally had a guy (a some-would-say-successful guy) tell me 'this ship will sail' kay guy, first, you're working with a sub, last, it sunk",0.479,,,hurt,3,,,hurt,2,displeased,3,,,,,,
255,40500,@ksmitely @CitizenMeh I feel strongly that we need to work together to right this dreadful wrong.,0.415,,,displeased,2,,,guilty,3,guilty,2,,,,,,
256,40504,@MHChat #mhchat Childhood experiences inform adult relationships. We have associative memories Not a question of ability to process,0.397,,,displeased,2,,,hurt,2,grief,4,,,,,,
257,40510,A Leopard never changes its spots! #lost,0.396,,,displeased,3,,,lonely,3,depressed,1,,,,,,
258,40511,In need of a serious nap rn,0.396,,,depressed,3,,,displeased,3,depressed,1,,,,,,
259,40516,"@JohnWildy71 something, too confused to type an entire word ﾃｰﾅｸﾋ・Eﾅ・E See, I can laugh again. My hour of sadness has almost passed",0.396,,,depressed,1,,,depressed,1,grief,1,,,,,,
260,40520,"Interview preparation, I hate talking about myself, one dull subject matter! #yawnoff",0.396,,,displeased,2,,,displeased,2,displeased,1,,,,,,
261,40527,Cam cannot be serious with that IG post and that stupid ass font he uses. Would've been better to just say nothing.,0.396,,,displeased,3,,,displeased,5,displeased,4,,,,,,
262,40529,No episode today! Whilst editing there was a power outage! We will rebuild...tomorrow #podcast #lost #editing #fail #tomorrow,0.396,,,displeased,4,,,displeased,5,grief,3,,,,,,
263,40534,"It is a solemn thing, and no small scandal in the Kingdom, to see Godﾃ｢・E・Eｬ・E・E｢s children starving while seated at the Fatherﾃ｢・E・Eｬ・E・E｢s table. -AW Tozer",0.375,,,displeased,5,,,hurt,3,hurt,4,,,,,,
264,40539,Gonna be a loooooong year as a Browns fan. Longer than normal and that's,0.375,,,depressed,3,,,displeased,4,displeased,1,,,,,,
265,40550,"the grave of a beat, a bravehearted cave lover, cage lover, sage #lover who made #soup of you, twisted to spoony #melancholy, spikes, spices",0.375,,,depressed,1,,,displeased,5,depressed,2,,,,,,
266,40551,"Like, 'loon attic'. Luckily it quickly sunk in that it was the wrong pronunciation, but I still couldn't stop saying it. It just stuck.",0.375,,,displeased,1,,,guilty,2,guilty,2,,,,,,
267,40558,I'm too sober time to get shit faced,0.36,,,depressed,4,,,depressed,4,depressed,4,,,,,,
268,40559,I don't want perfect. It's too boring and dull.,0.36,,,displeased,3,,,depressed,4,hurt,2,,,,,,
269,40563,"Pops are joyless, soulless toys which look nearly identical.  They are the perfect expression of consumerism.  'I enjoy this franchise'",0.354,,,displeased,3,,,displeased,3,displeased,1,,,,,,
270,40573,Why is it that we rejoice at a birth and grieve at a funeral? It is because we are not the person involved. ﾃ｢・E・Eｬ・E｢ Mark Twain,0.354,,,depressed,3,,,grief,3,displeased,2,,,,,,
271,40577,Regret for the things we did can be tempered by time; it is regret for the things we did not do that is inconsolable. - Sydney J. Harris,0.354,,,hurt,1,,,guilty,3,guilty,4,,,,,,
272,40585,In serious need of a nap,0.354,,,depressed,4,,,depressed,2,depressed,1,,,,,,
273,40595,First weekend of fall; let's see if I can stay disciplined to this seasons goals. #fitness #running #sober #Mindset #firstfriday #family,0.333,,,depressed,1,,,displeased,4,guilty,2,,,,,,
